20/12/20 10:05:11.68:   Get current data
20/12/20 10:05:12.93:   Film done 85 / 518
20/12/20 10:05:12.93:   Film done 86 / 518
20/12/20 10:05:12.93:   Film done 87 / 518
20/12/20 10:05:12.93:   Film done 88 / 518
20/12/20 10:05:12.93:   Film done 89 / 518
20/12/20 10:05:12.93:   Film done 90 / 518
20/12/20 10:05:12.93:   Film done 91 / 518
20/12/20 10:05:12.93:   Film done 92 / 518
20/12/20 10:05:12.93:   Film done 93 / 518
20/12/20 10:05:12.93:   Film done 94 / 518
20/12/20 10:05:12.93:   Film done 95 / 518
20/12/20 10:05:12.93:   Film done 96 / 518
20/12/20 10:05:12.93:   Film done 97 / 518
20/12/20 10:05:12.93:   Film done 98 / 518
20/12/20 10:05:12.93:   Film done 99 / 518
20/12/20 10:05:12.93:   Film done 100 / 518
20/12/20 10:05:12.93:   Film done 101 / 518
20/12/20 10:05:12.94:   Film done 102 / 518
20/12/20 10:05:12.94:   Film done 103 / 518
20/12/20 10:05:12.94:   Film done 104 / 518
20/12/20 10:05:12.94:   Film done 105 / 518
20/12/20 10:05:12.94:   Film done 106 / 518
20/12/20 10:05:12.94:   Film done 107 / 518
20/12/20 10:05:12.94:   Film done 108 / 518
20/12/20 10:05:12.94:   Film done 109 / 518
20/12/20 10:05:12.94:   Film done 110 / 518
20/12/20 10:05:12.94:   Film done 111 / 518
20/12/20 10:05:12.94:   Film done 112 / 518
20/12/20 10:05:12.94:   Film done 113 / 518
20/12/20 10:05:12.94:   Film done 114 / 518
20/12/20 10:05:12.94:   Film done 115 / 518
20/12/20 10:05:12.94:   Film done 116 / 518
20/12/20 10:05:12.94:   Film done 117 / 518
20/12/20 10:05:12.94:   Film done 118 / 518
20/12/20 10:05:12.94:   Film done 119 / 518
20/12/20 10:05:12.94:   Film done 120 / 518
20/12/20 10:05:12.94:   Film done 121 / 518
20/12/20 10:05:12.94:   Film done 122 / 518
20/12/20 10:05:12.94:   Film done 123 / 518
20/12/20 10:05:12.94:   Film done 124 / 518
20/12/20 10:05:12.94:   Film done 125 / 518
20/12/20 10:05:12.94:   Film done 126 / 518
20/12/20 10:05:12.94:   Film done 127 / 518
20/12/20 10:05:12.94:   Film done 128 / 518
20/12/20 10:05:12.94:   Film done 129 / 518
20/12/20 10:05:12.94:   Film done 130 / 518
20/12/20 10:05:12.94:   Film done 131 / 518
20/12/20 10:05:12.94:   Film done 132 / 518
20/12/20 10:05:12.94:   Film done 133 / 518
20/12/20 10:05:12.94:   Film done 134 / 518
20/12/20 10:05:12.94:   Film done 135 / 518
20/12/20 10:05:12.94:   Film done 136 / 518
20/12/20 10:05:12.94:   Film done 137 / 518
20/12/20 10:05:12.94:   Film done 138 / 518
20/12/20 10:05:12.94:   Film done 139 / 518
20/12/20 10:05:12.94:   Film done 140 / 518
20/12/20 10:05:12.94:   Film done 141 / 518
20/12/20 10:05:12.94:   Film done 142 / 518
20/12/20 10:05:12.94:   Film done 143 / 518
20/12/20 10:05:12.94:   Film done 144 / 518
20/12/20 10:05:12.94:   Film done 145 / 518
20/12/20 10:05:12.94:   Film done 146 / 518
20/12/20 10:05:12.94:   Film done 147 / 518
20/12/20 10:05:12.94:   Film done 148 / 518
20/12/20 10:05:12.94:   Film done 149 / 518
20/12/20 10:05:12.94:   Film done 150 / 518
20/12/20 10:05:12.94:   Film done 151 / 518
20/12/20 10:05:12.94:   Film done 152 / 518
20/12/20 10:05:12.95:   Film done 153 / 518
20/12/20 10:05:12.95:   Film done 154 / 518
20/12/20 10:05:12.95:   Film done 155 / 518
20/12/20 10:05:12.95:   Film done 156 / 518
20/12/20 10:05:12.95:   Film done 157 / 518
20/12/20 10:05:12.95:   Film done 158 / 518
20/12/20 10:05:12.95:   Film done 159 / 518
20/12/20 10:05:12.95:   Film done 160 / 518
20/12/20 10:05:12.95:   Film done 161 / 518
20/12/20 10:05:12.95:   Film done 162 / 518
20/12/20 10:05:12.95:   Film done 163 / 518
20/12/20 10:05:12.95:   Film done 164 / 518
20/12/20 10:05:12.95:   Film done 165 / 518
20/12/20 10:05:12.95:   Film done 166 / 518
20/12/20 10:05:12.95:   Film done 167 / 518
20/12/20 10:05:12.95:   Film done 169 / 518
20/12/20 10:05:12.95:   Film done 168 / 518
20/12/20 10:05:12.95:   Film done 170 / 518
20/12/20 10:05:12.95:   Film done 171 / 518
20/12/20 10:05:12.95:   Film done 172 / 518
20/12/20 10:05:12.95:   Film done 173 / 518
20/12/20 10:05:12.95:   Film done 174 / 518
20/12/20 10:05:12.95:   Film done 175 / 518
20/12/20 10:05:12.95:   Film done 176 / 518
20/12/20 10:05:12.95:   Film done 177 / 518
20/12/20 10:05:12.95:   Film done 178 / 518
20/12/20 10:05:12.95:   Film done 179 / 518
20/12/20 10:05:12.95:   Film done 180 / 518
20/12/20 10:05:12.95:   Film done 181 / 518
20/12/20 10:05:12.95:   Film done 182 / 518
20/12/20 10:05:12.95:   Film done 183 / 518
20/12/20 10:05:12.95:   Film done 185 / 518
20/12/20 10:05:12.95:   Film done 184 / 518
20/12/20 10:05:12.95:   Film done 186 / 518
20/12/20 10:05:12.95:   Film done 187 / 518
20/12/20 10:05:12.95:   Film done 188 / 518
20/12/20 10:05:12.95:   Film done 189 / 518
20/12/20 10:05:12.95:   Film done 190 / 518
20/12/20 10:05:12.95:   Film done 191 / 518
20/12/20 10:05:12.95:   Film done 192 / 518
20/12/20 10:05:12.95:   Film done 193 / 518
20/12/20 10:05:12.95:   Film done 194 / 518
20/12/20 10:05:12.95:   Film done 195 / 518
20/12/20 10:05:12.95:   Film done 196 / 518
20/12/20 10:05:12.95:   Film done 197 / 518
20/12/20 10:05:12.95:   Film done 198 / 518
20/12/20 10:05:12.95:   Film done 199 / 518
20/12/20 10:05:12.96:   Film done 200 / 518
20/12/20 10:05:12.96:   Film done 201 / 518
20/12/20 10:05:12.96:   Film done 202 / 518
20/12/20 10:05:12.96:   Film done 203 / 518
20/12/20 10:05:12.96:   Film done 204 / 518
20/12/20 10:05:12.96:   Film done 205 / 518
20/12/20 10:05:12.96:   Film done 206 / 518
20/12/20 10:05:12.96:   Film done 207 / 518
20/12/20 10:05:12.96:   Film done 208 / 518
20/12/20 10:05:12.96:   Film done 209 / 518
20/12/20 10:05:12.96:   Film done 210 / 518
20/12/20 10:05:12.96:   Film done 211 / 518
